FILENAME:	2bg015_6.txt
TITLE:	AFC Filter 02 ZnS Test Piece Sample 2BG @ 15K, 2.6°i, In f/8 (CDCR 04739/04744, SMCR 01880)
FORMAL_COMMENT:	Astronomical Filter Consortium - Filter 02 (SiC) Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	26-Jun-2001
AUTHOR:	Richard Sherwood
CHANNEL:	02
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
2.678	-0.49913
2.679	-0.07715
2.680	0.05310
2.681	0.01230
2.682	0.02842
2.683	0.07013
2.684	0.07927
2.685	0.12797
2.686	0.25069
2.687	0.21232
2.688	0.04055
2.689	-0.04708
2.690	-0.00970
2.691	0.07489
2.692	0.08590
2.693	0.04261
2.694	0.21541
2.695	0.41527
2.696	0.20019
2.697	0.00281
2.698	0.02186
2.699	0.10442
2.700	0.09949
2.701	0.09470
2.702	0.08966
2.703	0.04402
2.704	0.04013
2.705	0.04675
2.706	-0.00459
2.707	0.02036
2.708	0.02667
2.709	-0.02083
2.710	-0.05597
2.711	-0.06375
2.712	0.04000
2.713	0.05405
2.714	0.05789
2.715	0.05318
2.716	0.05918
2.717	0.06181
